<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.02.12	1.36375	1.36525	1.35620	1.35948	36133	0	1
2014.02.13	1.35952	1.36916	1.35852	1.36787	37460	0	1
2014.02.14	1.36785	1.37145	1.36735	1.36918	33344	0	1
2014.02.17	1.37007	1.37240	1.36919	1.37047	24586	0	1
2014.02.18	1.37047	1.37696	1.36943	1.37604	32249	0	1
2014.02.19	1.37601	1.37730	1.37242	1.37321	28902	0	1
2014.02.20	1.37322	1.37623	1.36857	1.37202	34472	0	1
2014.02.21	1.37208	1.37583	1.37018	1.37380	28282	0	1
2014.02.24	1.37382	1.37710	1.37081	1.37336	29773	0	1
2014.02.25	1.37337	1.37668	1.37152	1.37447	32276	0	1
2014.02.26	1.37449	1.37569	1.36614	1.36831	33706	0	1
2014.02.27	1.36831	1.37266	1.36430	1.37080	34317	0	1
2014.02.28	1.37081	1.38241	1.36940	1.38016	40727	0	1
2014.03.03	1.37856	1.37924	1.37260	1.37361	36361	0	1
2014.03.04	1.37362	1.37812	1.37206	1.37395	33935	0	1
2014.03.05	1.37396	1.37491	1.37072	1.37361	31361	0	1
2014.03.06	1.37361	1.38723	1.37210	1.38596	36167	0	1
2014.03.07	1.38599	1.39146	1.38522	1.38746	46042	0	1
2014.03.10	1.38761	1.38976	1.38614	1.38769	47649	0	1
2014.03.11	1.38767	1.38784	1.38335	1.38545	52547	0	1
2014.03.12	1.38545	1.39142	1.38432	1.39018	57901	0	1
2014.03.13	1.39018	1.39666	1.38454	1.38676	89631	0	1
2014.03.14	1.38676	1.39374	1.38473	1.39134	77345	0	1
2014.03.17	1.39062	1.39474	1.38788	1.39252	54594	0	1
2014.03.18	1.39251	1.39427	1.38797	1.39304	65481	0	1
2014.03.19	1.39304	1.39329	1.38095	1.38223	71573	0	1
2014.03.20	1.38226	1.38448	1.37490	1.37782	73143	0	1
2014.03.21	1.37781	1.38106	1.37654	1.37933	52262	0	1
2014.03.24	1.37914	1.38757	1.37601	1.38380	62209	0	1
2014.03.25	1.38381	1.38470	1.37490	1.38250	77942	0	1
2014.03.26	1.38249	1.38263	1.37762	1.37830	65940	0	1
2014.03.27	1.37834	1.37967	1.37283	1.37437	73914	0	1
2014.03.28	1.37436	1.37729	1.37047	1.37513	62356	0	1
2014.03.31	1.37531	1.38085	1.37215	1.37735	71368	0	1
2014.04.01	1.37734	1.38152	1.37690	1.37932	56271	0	1
2014.04.02	1.37931	1.38201	1.37530	1.37651	54934	0	1
2014.04.03	1.37653	1.38066	1.36980	1.37168	72640	0	1
2014.04.04	1.37169	1.37312	1.36725	1.37014	72175	0	1
2014.04.07	1.37008	1.37483	1.36960	1.37412	40145	0	1
2014.04.08	1.37413	1.38116	1.37371	1.37946	70728	0	1
2014.04.09	1.37955	1.38620	1.37799	1.38536	70702	0	1
2014.04.10	1.38534	1.38988	1.38357	1.38868	43523	0	1
2014.04.11	1.38868	1.39057	1.38632	1.38844	38018	0	1
2014.04.14	1.38573	1.38627	1.38080	1.38181	40756	0	1
2014.04.15	1.38185	1.38332	1.37899	1.38133	38986	0	1
2014.04.16	1.38133	1.38507	1.38035	1.38160	38832	0	1
2014.04.17	1.38160	1.38645	1.38109	1.38131	33927	0	1
2014.04.18	1.38130	1.38222	1.38068	1.38068	10531	0	1
2014.04.21	1.38164	1.38302	1.37869	1.37944	17160	0	1
2014.04.22	1.37945	1.38247	1.37849	1.38053	29961	0	1
2014.04.23	1.38052	1.38545	1.38001	1.38160	37502	0	1
2014.04.24	1.38158	1.38432	1.37912	1.38312	35783	0	1
2014.04.25	1.38314	1.38481	1.38267	1.38330	27629	0	1
2014.04.28	1.38394	1.38792	1.38145	1.38497	35819	0	1
2014.04.29	1.38497	1.38788	1.38054	1.38116	36508	0	1
2014.04.30	1.38118	1.38764	1.37749	1.38653	46057	0	1
2014.05.01	1.38656	1.38889	1.38626	1.38670	21019	0	1
2014.05.02	1.38671	1.38811	1.38120	1.38689	40799	0	1
2014.05.05	1.38724	1.38858	1.38643	1.38740	23785	0	1
2014.05.06	1.38743	1.39511	1.38719	1.39247	42961	0	1
2014.05.07	1.39248	1.39384	1.39097	1.39109	58388	0	1
2014.05.08	1.39109	1.39932	1.38328	1.38392	64629	0	1
2014.05.09	1.38393	1.38441	1.37453	1.37577	43198	0	1
2014.05.12	1.37569	1.37747	1.37492	1.37582	34223	0	1
2014.05.13	1.37582	1.37713	1.36889	1.37034	53811	0	1
2014.05.14	1.37035	1.37304	1.36978	1.37142	38925	0	1
2014.05.15	1.37139	1.37322	1.36484	1.37101	45460	0	1
2014.05.16	1.37101	1.37267	1.36851	1.36933	33834	0	1
2014.05.19	1.36978	1.37337	1.36951	1.37085	28640	0	1
2014.05.20	1.37086	1.37133	1.36780	1.36989	26225	0	1
2014.05.21	1.36991	1.37229	1.36353	1.36856	31543	0	1
2014.05.22	1.36856	1.36871	1.36451	1.36561	35117	0	1
2014.05.23	1.36557	1.36563	1.36155	1.36280	33177	0	1
2014.05.26	1.36246	1.36540	1.36153	1.36438	19326	0	1
2014.05.27	1.36439	1.36681	1.36123	1.36334	29644	0	1
2014.05.28	1.36336	1.36373	1.35880	1.35921	28642	0	1
2014.05.29	1.35920	1.36253	1.35858	1.36017	27998	0	1
2014.05.30	1.36019	1.36498	1.35980	1.36339	30340	0	1
2014.06.02	1.36304	1.36359	1.35879	1.35979	35805	0	1
2014.06.03	1.35979	1.36475	1.35867	1.36271	37123	0	1
2014.06.04	1.36268	1.36389	1.35962	1.36001	41642	0	1
2014.06.05	1.35997	1.36693	1.35028	1.36628	54705	0	1
2014.06.06	1.36629	1.36769	1.36208	1.36423	43247	0	1
2014.06.09	1.36458	1.36685	1.35823	1.35923	35632	0	1
2014.06.10	1.35925	1.36017	1.35333	1.35445	42205	0	1
2014.06.11	1.35445	1.35569	1.35215	1.35337	41066	0	1
2014.06.12	1.35339	1.35714	1.35121	1.35489	42333	0	1
2014.06.13	1.35490	1.35787	1.35207	1.35379	35882	0	1
2014.06.16	1.35373	1.35792	1.35129	1.35722	35655	0	1
2014.06.17	1.35719	1.35869	1.35360	1.35462	37785	0	1
2014.06.18	1.35460	1.35992	1.35416	1.35875	37845	0	1
2014.06.19	1.35875	1.36433	1.35838	1.36060	40000	0	1
2014.06.20	1.36063	1.36338	1.35642	1.35995	32198	0	1
2014.06.23	1.35949	1.36133	1.35738	1.36035	31070	0	1
2014.06.24	1.36037	1.36274	1.35832	1.36028	34580	0	1
2014.06.25	1.36028	1.36510	1.36003	1.36306	31221	0	1
2014.06.26	1.36306	1.36411	1.35757	1.36120	35090	0	1
2014.06.27	1.36124	1.36502	1.36098	1.36488	34345	0	1
2014.06.30	1.36450	1.36969	1.36402	1.36927	30053	0	1
2014.07.02	1.36786	1.36820	1.36422	1.36567	19840	0	6
2014.07.03	1.36568	1.36639	1.35962	1.36088	25201	0	1
2014.07.04	1.36087	1.36110	1.35851	1.35944	15455	0	1
2014.07.07	1.35935	1.36089	1.35758	1.36056	24109	0	1
2014.07.08	1.36055	1.36172	1.35881	1.36117	23993	0	2
2014.07.09	1.36116	1.36473	1.36021	1.36404	28213	0	1
2014.07.10	1.36403	1.36506	1.35891	1.36063	28737	0	1
2014.07.11	1.36064	1.36244	1.35916	1.36032	46432	0	2
2014.07.14	1.36055	1.36401	1.35973	1.36207	59943	0	2
2014.07.15	1.36206	1.36277	1.35619	1.35679	65493	0	1
2014.07.16	1.35679	1.35714	1.35206	1.35251	28406	0	1
2014.07.17	1.35249	1.35399	1.35163	1.35258	29829	0	1
2014.07.18	1.35258	1.35358	1.34908	1.35203	30906	0	1
2014.07.21	1.35268	1.35484	1.35123	1.35221	23368	0	5
2014.07.22	1.35221	1.35290	1.34584	1.34659	49940	0	1
2014.07.23	1.34659	1.34737	1.34545	1.34622	43492	0	2
2014.07.24	1.34622	1.34846	1.34378	1.34622	51248	0	3
2014.07.25	1.34622	1.34752	1.34210	1.34288	53051	0	4
2014.07.28	1.34305	1.34436	1.34265	1.34393	40623	0	3
2014.07.29	1.34393	1.34441	1.34039	1.34087	53807	0	4
2014.07.30	1.34088	1.34149	1.33665	1.33945	53762	0	1
2014.07.31	1.33945	1.34004	1.33710	1.33877	32420	0	1
2014.08.01	1.33872	1.34446	1.33781	1.34264	35005	0	1
2014.08.04	1.34271	1.34308	1.34091	1.34218	29284	0	6
2014.08.05	1.34217	1.34244	1.33580	1.33712	42585	0	6
2014.08.06	1.33712	1.33875	1.33327	1.33838	51687	0	6
2014.08.07	1.33836	1.33933	1.33367	1.33614	52397	0	6
2014.08.08	1.33613	1.34323	1.33432	1.34094	52960	0	6
2014.08.11	1.34061	1.34082	1.33801	1.33843	31465	0	6
2014.08.12	1.33843	1.33857	1.33356	1.33670	36874	0	6
2014.08.13	1.33674	1.34148	1.33419	1.33630	43631	0	6
2014.08.14	1.33630	1.34074	1.33479	1.33637	43915	0	6
2014.08.15	1.33637	1.34114	1.33583	1.33975	44977	0	6
2014.08.18	1.33913	1.33988	1.33526	1.33611	29223	0	6
2014.08.19	1.33611	1.33627	1.33129	1.33174	40243	0	6
2014.08.20	1.33174	1.33240	1.32550	1.32576	47561	0	6
2014.08.21	1.32575	1.32881	1.32417	1.32819	38070	0	6
2014.08.22	1.32817	1.32963	1.32204	1.32381	42957	0	2
2014.08.25	1.31914	1.32100	1.31834	1.31903	30319	0	3
2014.08.26	1.31904	1.32144	1.31644	1.31682	39818	0	6
2014.08.27	1.31681	1.32094	1.31523	1.31935	44381	0	6
2014.08.28	1.31934	1.32204	1.31596	1.31838	37032	0	1
2014.08.29	1.31837	1.31960	1.31323	1.31323	29807	0	1
2014.09.01	1.31292	1.31451	1.31188	1.31273	24812	0	6
2014.09.02	1.31271	1.31365	1.31098	1.31326	38631	0	6
2014.09.03	1.31323	1.31600	1.31219	1.31487	39092	0	1
2014.09.04	1.31488	1.31540	1.29201	1.29357	58967	0	1
2014.09.05	1.29357	1.29883	1.29221	1.29510	48589	0	1
2014.09.08	1.29531	1.29590	1.28811	1.29001	56781	0	1
2014.09.09	1.29000	1.29574	1.28594	1.29404	66399	0	1
2014.09.10	1.29403	1.29628	1.28833	1.29157	58156	0	1
2014.09.11	1.29157	1.29516	1.28966	1.29233	54262	0	1
2014.09.12	1.29231	1.29791	1.29089	1.29643	60379	0	1
2014.09.15	1.29679	1.29694	1.29088	1.29409	48841	0	1
2014.09.16	1.29408	1.29951	1.29223	1.29574	54854	0	1
2014.09.17	1.29575	1.29814	1.28355	1.28449	53639	0	1
2014.09.18	1.28456	1.29303	1.28347	1.29160	48950	0	1
2014.09.19	1.29160	1.29289	1.28275	1.28284	54009	0	1
2014.09.22	1.28267	1.28679	1.28164	1.28464	97268	0	1
2014.09.23	1.28463	1.29012	1.28427	1.28486	42215	0	1
2014.09.24	1.28485	1.28637	1.27742	1.27780	43863	0	1
2014.09.25	1.27781	1.27834	1.26968	1.27515	56799	0	1
2014.09.26	1.27515	1.27607	1.26769	1.26825	46875	0	1
2014.09.29	1.26812	1.27149	1.26638	1.26887	46692	0	1
2014.09.30	1.26889	1.27024	1.25712	1.26307	57763	0	1
2014.10.01	1.26306	1.26397	1.25837	1.26185	57895	0	1
2014.10.02	1.26183	1.26988	1.26138	1.26696	71150	0	1
2014.10.03	1.26700	1.26719	1.25006	1.25145	52132	0	1
2014.10.06	1.25132	1.26750	1.25089	1.26534	49595	0	1
2014.10.07	1.26536	1.26820	1.25836	1.26646	73989	0	1
2014.10.08	1.26649	1.27489	1.26228	1.27304	73519	0	1
2014.10.09	1.27303	1.27914	1.26638	1.26895	82394	0	1
2014.10.10	1.26895	1.27161	1.26056	1.26272	69128	0	1
2014.10.13	1.26273	1.27681	1.26273	1.27412	77625	0	1
2014.10.14	1.27412	1.27489	1.26400	1.26580	81218	0	1
2014.10.15	1.26580	1.28868	1.26248	1.28156	113044	0	1
2014.10.16	1.28173	1.28450	1.27059	1.28040	113729	0	1
2014.10.17	1.28036	1.28368	1.27435	1.27591	67640	0	1
2014.10.20	1.27552	1.28164	1.27308	1.27942	70412	0	8
2014.10.21	1.27941	1.28397	1.27107	1.27112	80797	0	8
2014.10.22	1.27113	1.27391	1.26367	1.26441	76195	0	8
2014.10.23	1.26444	1.26762	1.26134	1.26447	71117	0	3
2014.10.24	1.26447	1.26953	1.26344	1.26681	65321	0	3
2014.10.27	1.26751	1.27231	1.26653	1.26947	71688	0	5
2014.10.28	1.26947	1.27644	1.26848	1.27355	64547	0	1
2014.10.29	1.27355	1.27701	1.26261	1.26377	71684	0	8
2014.10.30	1.26376	1.26388	1.25469	1.26047	88424	0	3
2014.10.31	1.26047	1.26135	1.24851	1.25231	102892	0	8
2014.11.03	1.25085	1.25110	1.24385	1.24903	93570	0	8
2014.11.04	1.24901	1.25772	1.24870	1.25521	87384	0	7
2014.11.05	1.25520	1.25665	1.24568	1.24746	102610	0	2
2014.11.06	1.24746	1.25328	1.23645	1.23786	120163	0	1
2014.11.07	1.23785	1.24683	1.23571	1.24535	90631	0	1
2014.11.10	1.24637	1.25090	1.24180	1.24235	75514	0	8
2014.11.11	1.24234	1.24988	1.23939	1.24728	78930	0	1
2014.11.12	1.24729	1.24974	1.24187	1.24279	99066	0	8
2014.11.13	1.24281	1.24917	1.24259	1.24747	99148	0	1
2014.11.14	1.24744	1.25462	1.23988	1.25215	111269	0	1
2014.11.17	1.25204	1.25771	1.24440	1.24491	95885	0	1
2014.11.18	1.24492	1.25449	1.24432	1.25311	73934	0	1
2014.11.19	1.25309	1.25991	1.25116	1.25446	59235	0	1
2014.11.20	1.25446	1.25746	1.25040	1.25413	84296	0	1
2014.11.21	1.25412	1.25675	1.23747	1.23892	79516	0	1
2014.11.24	1.23623	1.24444	1.23623	1.24410	56449	22002835000	1
2014.11.25	1.24407	1.24865	1.24015	1.24736	60512	139000000	1
2014.11.26	1.24734	1.25310	1.24429	1.25044	68393	82500000	1
2014.11.27	1.25047	1.25233	1.24643	1.24664	35740	0	3
2014.11.28	1.24657	1.24897	1.24259	1.24498	57848	0	8
2014.12.01	1.24613	1.25062	1.24189	1.24682	61169	0	3
2014.12.02	1.24685	1.24757	1.23765	1.23818	54975	0	3
2014.12.03	1.23806	1.23904	1.23008	1.23092	53442	0	3
2014.12.04	1.23103	1.24561	1.22794	1.23787	59826	0	3
2014.12.05	1.23767	1.23925	1.22707	1.22844	57636	0	1
2014.12.08	1.22828	1.23435	1.22472	1.23162	61884	87218412900	1
2014.12.09	1.23061	1.24476	1.22920	1.23736	72055	101372244000	1
2014.12.10	1.23737	1.24481	1.23619	1.24467	70683	95058820900	1
2014.12.11	1.24435	1.24949	1.23700	1.24080	66758	78777831000	1
2014.12.12	1.24112	1.24850	1.23842	1.24600	64055	65821630000	1
2014.12.15	1.24731	1.24785	1.24144	1.24345	70545	101470122000	1
2014.12.16	1.24351	1.25696	1.24334	1.25102	77617	98135508000	1
2014.12.17	1.25079	1.25154	1.23204	1.23406	73896	105755494000	1
2014.12.18	1.23405	1.23527	1.22656	1.22856	68692	91197851000	1
2014.12.19	1.22849	1.23019	1.22200	1.22224	60976	79103809000	1
2014.12.22	1.22230	1.22723	1.22164	1.22285	169863	272711468000	1
2014.12.23	1.22285	1.22454	1.21644	1.21721	155269	255166361000	1
2014.12.24	1.21721	1.22199	1.21693	1.21891	120599	165042777000	1
2014.12.26	1.22085	1.22108	1.21684	1.21773	76436	85910978000	1
2014.12.29	1.21807	1.22209	1.21430	1.21500	67561	87504004000	1
2014.12.30	1.21500	1.21873	1.21237	1.21546	46410	61562037000	1
2014.12.31	1.21525	1.21695	1.20973	1.20995	32048	40019199000	1
2015.01.02	1.20538	1.20690	1.19997	1.20014	53082	0	9
2015.01.05	1.19454	1.19757	1.18642	1.19317	95141	0	10
2015.01.06	1.19318	1.19682	1.18836	1.18887	91697	0	10
2015.01.07	1.18889	1.18956	1.18014	1.18386	98091	0	9
2015.01.08	1.18386	1.18467	1.17536	1.17899	82605	0	9
2015.01.09	1.17901	1.18450	1.17623	1.18402	91031	0	10
2015.01.12	1.18481	1.18702	1.17856	1.18325	80991	0	9
2015.01.13	1.18324	1.18589	1.17529	1.17718	93072	0	9
2015.01.14	1.17712	1.18451	1.17267	1.17881	101182	0	9
2015.01.15	1.17882	1.17921	1.15673	1.16298	123477	0	9
2015.01.16	1.16305	1.16479	1.14594	1.15650	121343	0	9
2015.01.19	1.15524	1.16381	1.15512	1.16060	49997	0	7
2015.01.20	1.16050	1.16138	1.15397	1.15479	36580	0	6
2015.01.21	1.15480	1.16790	1.15406	1.16087	45779	0	6
2015.01.22	1.16088	1.16485	1.13156	1.13642	56260	0	7
2015.01.23	1.13630	1.13731	1.11145	1.12032	62443	0	8
2015.01.26	1.11492	1.12945	1.10970	1.12373	51017	0	8
2015.01.27	1.12377	1.14221	1.12230	1.13803	65402	26218873000	1
2015.01.28	1.13803	1.13828	1.12757	1.12865	71647	0	1
2015.01.29	1.12867	1.13670	1.12612	1.13185	45808	14000000	2
2015.01.30	1.13154	1.13628	1.12770	1.12844	44897	0	9
2015.02.02	1.13115	1.13616	1.12918	1.13413	62989	0	1
2015.02.03	1.13399	1.15332	1.13122	1.14781	76916	0	1
2015.02.04	1.14779	1.14842	1.13155	1.13433	68437	0	2
2015.02.05	1.13428	1.14983	1.13035	1.14763	75428	0	5
2015.02.06	1.14760	1.14850	1.13090	1.13102	66082	0	5
2015.02.09	1.12952	1.13586	1.12698	1.13234	65433	0	5
2015.02.10	1.13233	1.13448	1.12726	1.13197	68796	0	5
2015.02.11	1.13200	1.13466	1.12794	1.13351	64393	0	5
2015.02.12	1.13348	1.14224	1.13016	1.14022	71197	0	5
2015.02.13	1.14020	1.14421	1.13792	1.13919	60539	0	5
2015.02.16	1.13994	1.14285	1.13191	1.13528	51186	0	5
2015.02.17	1.13533	1.14478	1.13217	1.14100	69407	0	5
2015.02.18	1.14097	1.14152	1.13335	1.13962	64941	0	5
2015.02.19	1.13960	1.14496	1.13550	1.13674	59622	0	5
2015.02.20	1.13675	1.14231	1.12788	1.13785	69731	0	1
2015.02.23	1.13940	1.13952	1.12947	1.13340	55201	0	5
2015.02.24	1.13335	1.13577	1.12900	1.13397	59038	0	5
2015.02.25	1.13395	1.13880	1.13353	1.13606	56284	0	5
2015.02.26	1.13593	1.13791	1.11834	1.11975	61722	0	5
2015.02.27	1.11975	1.12446	1.11758	1.11957	64231	0	5
2015.03.02	1.11805	1.12402	1.11597	1.11824	54008	0	5
2015.03.03	1.11835	1.12171	1.11545	1.11752	56803	0	6
2015.03.04	1.11742	1.11852	1.10615	1.10767	58992	0	5
2015.03.05	1.10772	1.11118	1.09879	1.10291	65263	0	7
2015.03.06	1.10284	1.10322	1.08387	1.08433	65790	0	5
2015.03.09	1.08296	1.09061	1.08227	1.08518	59301	0	2
2015.03.10	1.08509	1.08547	1.06676	1.06785	80767	0	5
2015.03.11	1.06791	1.07163	1.05108	1.05444	88719	0	7
2015.03.12	1.05457	1.06833	1.04943	1.06241	89899	0	5
2015.03.13	1.06238	1.06343	1.04619	1.04910	83236	0	5
2015.03.16	1.04855	1.06193	1.04791	1.05669	83506	0	1
2015.03.17	1.05664	1.06505	1.05510	1.05972	72379	0	1
2015.03.18	1.05961	1.10415	1.05797	1.08284	87748	0	1
2015.03.19	1.08291	1.09191	1.06125	1.06561	108495	0	1
2015.03.20	1.06562	1.08813	1.06550	1.08189	82998	0	5
2015.03.23	1.08667	1.09707	1.07667	1.09441	91164	0	5
2015.03.24	1.09457	1.10286	1.08897	1.09176	80441	0	9
2015.03.25	1.09184	1.10139	1.09002	1.09708	69803	0	9
2015.03.26	1.09711	1.10515	1.08555	1.08740	90096	0	5
2015.03.27	1.08743	1.09473	1.08007	1.08841	83003	0	5
2015.03.30	1.08841	1.08913	1.08095	1.08320	75521	0	5
2015.03.31	1.08317	1.08447	1.07123	1.07308	70009	0	11
2015.04.01	1.07331	1.07992	1.07180	1.07624	72023	0	10
2015.04.02	1.07622	1.09048	1.07497	1.08792	67761	0	1
2015.04.03	1.08793	1.10261	1.08632	1.09679	42177	0	8
2015.04.06	1.10007	1.10348	1.09090	1.09213	42818	0	1
2015.04.07	1.09211	1.09540	1.08029	1.08137	70632	0	4
2015.04.08	1.08137	1.08870	1.07627	1.07795	75544	0	4
2015.04.09	1.07796	1.07884	1.06372	1.06584	70600	0	4
2015.04.10	1.06585	1.06833	1.05674	1.06030	69708	0	4
2015.04.13	1.06030	1.06190	1.05202	1.05659	70464	0	2
2015.04.14	1.05658	1.07043	1.05311	1.06539	77117	0	4
2015.04.15	1.06534	1.07015	1.05705	1.06869	82189	0	4
2015.04.16	1.06869	1.08172	1.06246	1.07592	109153	0	5
2015.04.17	1.07592	1.08481	1.07343	1.08089	92329	0	4
2015.04.20	1.08089	1.08195	1.07120	1.07379	71150	0	4
2015.04.21	1.07379	1.07808	1.06594	1.07333	88718	0	4
2015.04.22	1.07333	1.08004	1.07079	1.07253	92181	0	4
2015.04.23	1.07253	1.08458	1.06655	1.08245	100340	0	4
2015.04.24	1.08245	1.08996	1.07842	1.08700	100443	0	4
2015.04.27	1.08627	1.09263	1.08191	1.08869	86221	0	4
2015.04.28	1.08897	1.09905	1.08595	1.09788	100394	0	4
2015.04.29	1.09767	1.11875	1.09591	1.11265	117774	0	4
2015.04.30	1.11277	1.12659	1.10708	1.12222	143218	0	4
2015.05.01	1.12188	1.12896	1.11742	1.11967	102047	0	4
2015.05.04	1.11922	1.12238	1.11224	1.11469	62220	0	4
2015.05.05	1.11444	1.12203	1.10662	1.11849	21097	0	2
2015.05.06	1.11851	1.13693	1.11749	1.13447	41796	0	1
2015.05.07	1.13473	1.13918	1.12371	1.12657	31166	0	1
2015.05.08	1.12654	1.12876	1.11789	1.12085	34340	0	5
2015.05.11	1.12000	1.12053	1.11305	1.11542	48198	0	6
2015.05.12	1.11544	1.12780	1.11337	1.12127	105463	0	7
2015.05.13	1.12127	1.13821	1.12019	1.13542	86143	0	5
2015.05.14	1.13535	1.14442	1.13402	1.14095	105449	0	5
2015.05.15	1.14094	1.14661	1.13233	1.14466	77665	0	1
2015.05.18	1.14485	1.14485	1.12979	1.13140	51726	0	6
2015.05.19	1.13146	1.13256	1.11184	1.11490	112121	0	7
2015.05.20	1.11506	1.11514	1.10616	1.10932	122301	0	7
2015.05.21	1.10917	1.11807	1.10790	1.11113	109322	0	4
2015.05.22	1.11113	1.12069	1.10016	1.10141	105137	0	7
2015.05.25	1.10052	1.10089	1.09584	1.09769	60698	0	7
2015.05.26	1.09764	1.09806	1.08626	1.08723	113774	0	5
2015.05.27	1.08718	1.09284	1.08185	1.09034	107899	0	7
2015.05.28	1.09035	1.09579	1.08681	1.09473	117478	0	7
2015.05.29	1.09471	1.10053	1.09251	1.09895	104414	0	7
2015.06.01	1.09835	1.09876	1.08865	1.09258	118185	0	5
2015.06.02	1.09257	1.11927	1.09152	1.11501	189524	0	5
2015.06.03	1.11499	1.12843	1.10811	1.12737	102112	0	2
2015.06.04	1.12736	1.13793	1.12219	1.12372	67030	0	1
2015.06.05	1.12370	1.12793	1.10489	1.11163	185260	0	5
2015.06.08	1.11018	1.13063	1.10837	1.12908	151939	0	5
2015.06.09	1.12902	1.13446	1.12136	1.12817	171017	0	5
2015.06.10	1.12796	1.13855	1.12599	1.13230	187092	0	5
2015.06.11	1.13232	1.13306	1.11816	1.12566	150647	0	5
2015.06.12	1.12567	1.12961	1.11509	1.12621	148197	0	5
2015.06.15	1.12133	1.12938	1.11893	1.12820	112556	0	6
2015.06.16	1.12830	1.13292	1.12044	1.12467	128956	0	4
2015.06.17	1.12467	1.13574	1.12057	1.13365	150512	0	5
2015.06.18	1.13365	1.14360	1.13297	1.13595	164081	0	5
2015.06.19	1.13575	1.13962	1.12915	1.13483	127247	0	5
2015.06.22	1.13740	1.14097	1.13115	1.13396	132015	0	5
2015.06.23	1.13398	1.13469	1.11347	1.11674	155646	0	5
2015.06.24	1.11663	1.12344	1.11539	1.12033	143646	0	5
2015.06.25	1.12056	1.12273	1.11534	1.12035	122528	0	5
2015.06.26	1.12023	1.12194	1.11297	1.11713	118028	0	5
2015.06.29	1.10047	1.12776	1.09538	1.12350	193963	0	5
2015.06.30	1.12346	1.12437	1.11123	1.11453	156812	0	5
2015.07.01	1.11380	1.11708	1.10425	1.10518	135383	0	5
2015.07.02	1.10525	1.11209	1.10319	1.10826	127664	0	4
2015.07.03	1.10835	1.11175	1.10643	1.11038	100405	0	4
2015.07.06	1.09794	1.10950	1.09688	1.10551	153241	0	7
2015.07.07	1.10551	1.10581	1.09158	1.10103	173620	0	5
2015.07.08	1.10104	1.10925	1.09734	1.10756	160168	0	6
2015.07.09	1.10754	1.11245	1.09910	1.10353	143058	0	4
2015.07.10	1.10353	1.12153	1.10300	1.11541	157300	0	6
2015.07.13	1.10993	1.11963	1.09948	1.10001	148997	0	5
2015.07.14	1.10001	1.10808	1.09649	1.10082	143590	0	5
2015.07.15	1.10082	1.10349	1.09293	1.09477	142338	0	7
2015.07.16	1.09483	1.09620	1.08549	1.08730	142440	0	5
2015.07.17	1.08731	1.09063	1.08281	1.08299	118379	0	7
2015.07.20	1.08332	1.08695	1.08078	1.08245	115065	0	7
2015.07.21	1.08243	1.09690	1.08109	1.09324	148089	0	5
2015.07.22	1.09341	1.09662	1.08691	1.09278	201564	0	4
2015.07.23	1.09234	1.10180	1.09213	1.09826	167751	186244709000	5
2015.07.24	1.09800	1.09955	1.09251	1.09762	123864	175995652000	7
2015.07.27	1.09759	1.11292	1.09687	1.10866	144811	203628425000	7
